Telepules,p_ld_Fidesz_twins_2014,n_wards_2014,min_Fidesz_votes_2014,p_ld_Fidesz_twins_2018,n_wards_2018,min_Fidesz_votes_2018,p_ld_Fidesz_twins_2019,n_wards_2019,min_Fidesz_votes_2019,p_last_2_regular,p_all_regular
Sióagárd,1.0,2,186,0.09999999999999998,2,242,1.0,2,193,0.09999999999999998,0.09999999999999998
Gödre,1.0,2,69,1.0,2,77,0.09999999999999998,2,47,0.09999999999999998,0.09999999999999998
Miske,1.0,2,240,1.0,2,233,0.09999999999999998,2,195,0.09999999999999998,0.09999999999999998
Szentlőrinckáta,1.0,2,184,0.09999999999999998,2,217,1.0,2,124,0.09999999999999998,0.09999999999999998
Mád,1.0,3,115,1.0,2,270,0.09999999999999998,2,189,0.09999999999999998,0.09999999999999998
Bácsbokod,1.0,3,138,1.0,3,208,0.09999999999999998,2,171,0.09999999999999998,0.09999999999999998
Rózsaszentmárton,1.0,2,165,1.0,2,222,0.09999999999999998,2,165,0.09999999999999998,0.09999999999999998
Sárkeresztúr,1.0,2,174,0.09999999999999998,2,248,1.0,2,95,0.09999999999999998,0.09999999999999998
Felcsút,1.0,2,352,0.09999999999999998,2,399,1.0,2,291,0.09999999999999998,0.09999999999999998
Nyírtura,1.0,2,130,1.0,2,191,0.09999999999999998,2,93,0.09999999999999998,0.09999999999999998
Fajsz,1.0,2,208,1.0,2,222,0.09999999999999998,2,147,0.09999999999999998,0.09999999999999998
Lispeszentadorján,1.0,2,13,0.09999999999999998,2,17,1.0,2,11,0.09999999999999998,0.09999999999999998
Hajdúbagos,1.0,2,158,1.0,2,265,0.09999999999999998,2,160,0.09999999999999998,0.09999999999999998
Szanda,0.09999999999999998,2,51,1.0,2,72,1.0,2,58,1.0,0.09999999999999998
Lánycsók,0.09999999999999998,2,285,1.0,2,357,1.0,2,217,1.0,0.09999999999999998
Balaton,0.09999999999999998,2,98,1.0,2,110,1.0,2,70,1.0,0.09999999999999998
Vácszentlászló,0.09999999999999998,2,245,1.0,2,302,1.0,2,184,1.0,0.09999999999999998
Jobbágyi,0.09999999999999998,2,133,1.0,2,203,1.0,2,133,1.0,0.09999999999999998
Gamás,0.09999999999999998,2,31,1.0,2,43,1.0,2,22,1.0,0.09999999999999998
Dunaalmás,0.09999999999999998,2,126,1.0,2,153,1.0,2,122,1.0,0.09999999999999998
Tar,0.09999999999999998,2,154,1.0,2,196,1.0,2,136,1.0,0.09999999999999998
Kötegyán,0.09999999999999998,2,150,1.0,2,213,1.0,2,142,1.0,0.09999999999999998
Kétsoprony,0.09999999999999998,2,92,1.0,2,125,1.0,2,81,1.0,0.09999999999999998
Nyírgyulaj,0.09999999999999998,2,159,1.0,2,255,1.0,2,148,1.0,0.09999999999999998
Németkér,0.09999999999999998,2,206,1.0,2,250,1.0,2,169,1.0,0.09999999999999998
Máza,0.09999999999999998,2,47,1.0,2,54,1.0,2,42,1.0,0.09999999999999998
Tass,0.09999999999999998,2,345,1.0,2,424,1.0,2,254,1.0,0.09999999999999998
Balinka,0.09999999999999998,2,116,1.0,2,126,1.0,2,93,1.0,0.09999999999999998
Magyarhertelend,0.09999999999999998,2,14,1.0,2,15,1.0,2,21,1.0,0.09999999999999998
Bócsa,0.09999999999999998,2,202,1.0,2,245,1.0,2,163,1.0,0.09999999999999998
Tarnazsadány,0.09999999999999998,2,52,1.0,2,113,1.0,2,93,1.0,0.09999999999999998
Körösszegapáti,0.09999999999999998,2,39,1.0,2,40,1.0,2,33,1.0,0.09999999999999998
Örményes,0.09999999999999998,2,78,1.0,2,117,1.0,2,60,1.0,0.09999999999999998
Mezőszilas,0.09999999999999998,2,163,1.0,2,238,1.0,2,137,1.0,0.09999999999999998
Tömörkény,0.09999999999999998,2,198,1.0,2,226,1.0,2,127,1.0,0.09999999999999998
Somogyhárságy,0.09999999999999998,2,27,1.0,2,53,1.0,2,32,1.0,0.09999999999999998
Gelse,0.09999999999999998,2,61,1.0,2,117,1.0,2,57,1.0,0.09999999999999998
Győrzámoly,0.09999999999999998,2,330,1.0,2,420,1.0,2,289,1.0,0.09999999999999998
Pusztaföldvár,0.09999999999999998,2,150,1.0,2,183,1.0,2,108,1.0,0.09999999999999998
Palotás,0.09999999999999998,2,169,1.0,2,215,1.0,2,126,1.0,0.09999999999999998
Konyár,0.09999999999999998,2,145,1.0,2,237,1.0,2,149,1.0,0.09999999999999998
Alcsútdoboz,0.09999999999999998,2,220,1.0,2,248,1.0,2,205,1.0,0.09999999999999998
Váchartyán,0.09999999999999998,2,220,1.0,2,272,1.0,2,198,1.0,0.09999999999999998
Sajószöged,0.09999999999999998,2,193,1.0,2,214,1.0,2,163,1.0,0.09999999999999998
Izsófalva,0.09999999999999998,2,127,1.0,2,189,1.0,2,104,1.0,0.09999999999999998
Táplánszentkereszt,0.09999999999999998,2,330,1.0,2,428,1.0,2,253,1.0,0.09999999999999998
Jásztelek,0.09999999999999998,2,181,1.0,2,222,1.0,2,106,1.0,0.09999999999999998
Gyöngyös,0.8011278994496029,30,118,0.15844408392822573,30,151,0.8011278994496029,30,80,0.12693397613763607,0.10169034967193041
Kondoros,0.46855899999999995,7,118,0.46855899999999995,7,155,0.46855899999999995,7,100,0.21954753648099995,0.10287097414600084
Kiskunlacháza,0.46855899999999995,7,152,0.46855899999999995,7,213,0.46855899999999995,7,163,0.21954753648099995,0.10287097414600084
Siklós,0.18689526999999995,9,144,0.5695327899999999,9,176,1.0,9,143,0.5695327899999999,0.10644298456090324
Heves,1.0,9,55,0.18689526999999995,9,91,0.5695327899999999,9,66,0.10644298456090324,0.10644298456090324
Hajdúhadház,1.0,9,27,0.5695327899999999,9,37,0.18689526999999995,9,28,0.10644298456090324,0.10644298456090324
Szombathely,0.25021353590478546,70,172,0.5265542563772153,69,198,0.8224303881115946,69,145,0.4330542214341253,0.10835602798352642
Salgótarján,0.35039359912167845,40,42,0.556280642562878,40,35,0.556280642562878,40,27,0.30944815329016845,0.10842865217289899
Budapest XV. kerület,0.15855726384265312,71,127,0.832032137578936,70,172,0.832032137578936,70,110,0.6922774779641735,0.10976562272589194
Gödöllő,0.28210201230814724,28,69,0.5154188583079993,28,104,0.7674010519878396,28,103,0.3955329740799299,0.11158064792217447
Szegvár,1.0,7,14,0.11426499999999995,7,24,1.0,7,22,0.11426499999999995,0.11426499999999995
Szeghalom,0.11426499999999995,7,218,1.0,7,264,1.0,7,136,1.0,0.11426499999999995
Hódmezővásárhely,0.7352337339766317,50,28,0.7352337339766317,50,105,0.2147052277530631,50,59,0.15785852630518774,0.11606291373541151
Alsónémedi,0.3439,5,243,1.0,5,283,0.3439,5,186,0.3439,0.11826720999999998
